r,N,N0,simulation,condfixtime_mean,condfixtime_std,nsamples
8.0,3,1,"full (asymmetric, branch)",0.24800665731759225,0.24433127383726988,24061
8.0,3,1,"full (asymmetric, split)",0.22292309918999487,0.20869292267380934,24394
8.0,3,1,"full (moran, split)",0.015614456043529856,0.012332553618123816,7762
8.0,3,2,"full (asymmetric, branch)",1.0079551788437573,0.7779398207754971,23893
8.0,3,2,"full (asymmetric, split)",0.21899167444539805,0.20577461267048883,24411
8.0,3,2,"full (moran, split)",0.015657301634756548,0.01272659670594805,7874
8.0,5,1,"full (asymmetric, branch)",0.2515776463150498,0.25329622256839585,24657
8.0,5,1,"full (asymmetric, split)",0.25276612801588066,0.2502124048798699,24292
8.0,5,1,"full (moran, split)",0.030548093276550923,0.021176906686944955,8555
8.0,5,2,"full (asymmetric, branch)",0.7685207204811793,0.5761126258395617,24399
8.0,5,2,"full (asymmetric, split)",0.5141294680956311,0.3761586025997762,24655
8.0,5,2,"full (moran, split)",0.03261275442384011,0.02161552322444688,8627
8.0,5,3,"full (asymmetric, branch)",1.590873362193347,1.1273213322153495,23918
8.0,5,3,"full (asymmetric, split)",0.5236461733344001,0.38520597723802413,24296
8.0,5,3,"full (moran, split)",0.03265410212762052,0.02201162291269657,8651
8.0,5,4,"full (asymmetric, branch)",4.009173460461739,2.695924875500602,24236
8.0,5,4,"full (asymmetric, split)",0.2498175120811569,0.24773859768428666,24544
8.0,5,4,"full (moran, split)",0.03019809060421957,0.020452081393156584,8388
8.0,20,1,"full (asymmetric, branch)",0.2534816352067469,0.2518816777148485,25069
8.0,20,1,"full (asymmetric, split)",0.2491710510615747,0.24783278635862452,25097
8.0,20,1,"full (moran, split)",0.10975845043521691,0.07362750723444218,8921
8.0,20,3,"full (asymmetric, branch)",0.9947506290614968,0.6910912939873208,25210
8.0,20,3,"full (asymmetric, split)",0.9746621983494301,0.6649054903852184,25311
8.0,20,3,"full (moran, split)",0.1412063373195387,0.08097182437007373,9150
8.0,20,5,"full (asymmetric, branch)",1.7512841910319403,1.1256870078649455,24742
8.0,20,5,"full (asymmetric, split)",1.5863492337273442,1.008138266663151,24888
8.0,20,5,"full (moran, split)",0.14879308628988097,0.08375011696003916,9259
8.0,20,7,"full (asymmetric, branch)",2.736279877108631,1.685152643040594,24953
8.0,20,7,"full (asymmetric, split)",2.146190948601737,1.2886237549985495,25068
8.0,20,7,"full (moran, split)",0.1536238961170964,0.08655432678478024,9375
8.0,20,9,"full (asymmetric, branch)",4.094556979905861,2.477561797897062,24584
8.0,20,9,"full (asymmetric, split)",2.4460587620083065,1.4244094803034104,24997
8.0,20,9,"full (moran, split)",0.15534949620644622,0.08707848751816473,9419
8.0,20,11,"full (asymmetric, branch)",5.915102550681623,3.406160365851116,23969
8.0,20,11,"full (asymmetric, split)",2.482460544558281,1.50299563525964,25002
8.0,20,11,"full (moran, split)",0.15458783430672088,0.08821975034867464,9090
8.0,20,13,"full (asymmetric, branch)",9.170312414116129,5.404049559585807,24097
8.0,20,13,"full (asymmetric, split)",2.1371443611624086,1.3224266557315654,25012
8.0,20,13,"full (moran, split)",0.15422569959414428,0.08671513825278264,9273
8.0,20,15,"full (asymmetric, branch)",14.58067746007259,8.754405691157388,23698
8.0,20,15,"full (asymmetric, split)",1.58557796593359,0.9912146698003982,24698
8.0,20,15,"full (moran, split)",0.1496847835204943,0.0848841386357393,9240
8.0,20,17,"full (asymmetric, branch)",26.46075464978297,15.109082476532764,23424
8.0,20,17,"full (asymmetric, split)",0.9646633297860888,0.6436479823437234,25006
8.0,20,17,"full (moran, split)",0.14201128093377083,0.08163632785062035,9163
8.0,20,19,"full (asymmetric, branch)",87.72538342801671,47.12129743299731,21656
8.0,20,19,"full (asymmetric, split)",0.25474031979025236,0.2530180984964621,25109
8.0,20,19,"full (moran, split)",0.11009700475901969,0.07521733569455782,9028
8.0,100,1,"full (asymmetric, branch)",0.2557466052302139,0.25229862216094956,26214
8.0,100,1,"full (asymmetric, split)",0.2543882964854206,0.24977995732310643,26176
8.0,100,1,"full (moran, split)",0.22491929320515994,0.19574807285012558,9321
8.0,100,10,"full (asymmetric, branch)",3.0831396122140067,1.8526037692376527,25615
8.0,100,10,"full (asymmetric, split)",3.0830985489338247,1.8842146910971411,25588
8.0,100,10,"full (moran, split)",0.6967114016268354,0.3769685431599074,9545
8.0,100,20,"full (asymmetric, branch)",6.467338463572972,3.6561152756248396,25032
8.0,100,20,"full (asymmetric, split)",6.347297647677999,3.5700773430698014,25283
8.0,100,20,"full (moran, split)",0.7703200865702453,0.42909233993810203,9434
8.0,100,30,"full (asymmetric, branch)",11.089142128578887,6.083498659895909,24745
8.0,100,30,"full (asymmetric, split)",9.400720080701815,5.00447738612567,24919
8.0,100,30,"full (moran, split)",0.8031369433967452,0.4287529895141829,9322
8.0,100,40,"full (asymmetric, branch)",17.18675322256582,9.728676088922857,24279
8.0,100,40,"full (asymmetric, split)",12.042164295519747,6.970196787046052,24863
8.0,100,40,"full (moran, split)",0.8092843363242331,0.4382527185554272,9519
8.0,100,50,"full (asymmetric, branch)",25.73558168267364,13.887084674260594,23770
8.0,100,50,"full (asymmetric, split)",12.940777854020993,7.35457362817515,24921
8.0,100,50,"full (moran, split)",0.8180613078698189,0.4399956352995312,9516
8.0,100,60,"full (asymmetric, branch)",37.7213991347037,21.2128266283848,23769
8.0,100,60,"full (asymmetric, split)",11.676893126322298,6.204990365402774,24739
8.0,100,60,"full (moran, split)",0.8221682294390553,0.45501699342286483,9604
8.0,100,70,"full (asymmetric, branch)",58.843176875719955,30.58739321325811,23009
8.0,100,70,"full (asymmetric, split)",9.235312126485908,5.059126205956912,25146
8.0,100,70,"full (moran, split)",0.7951882053380243,0.4325458574884904,9525
8.0,100,80,"full (asymmetric, branch)",91.84775999426883,42.61341911725351,21635
8.0,100,80,"full (asymmetric, split)",6.193007862252832,3.4188130777027474,25209
8.0,100,80,"full (moran, split)",0.7671038335793139,0.4263698920743021,9460
8.0,100,90,"full (asymmetric, branch)",202.53519369690045,102.70076101343436,17752
8.0,100,90,"full (asymmetric, split)",3.046914946151009,1.813126768744542,25538
8.0,100,90,"full (moran, split)",0.6868586579237268,0.3887633687711199,9519
